stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s51i081,51,81,192,,,PLEV39,oh,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH)
* m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s51i999,51,999,192,,,PLEV39,oh,AERmonZ,False,2,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_OH)
* m01s51i081[blev=PLEV39, lbproc=192] / m01s51i999[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i294,30,294,192,,,PLEV39,ta,AERmonZ,False,2,K,ok,"m01s30i294[blev=PLEV39, lbproc=192]
/ m01s30i304[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i304,30,304,192,,,PLEV39,ta,AERmonZ,False,2,K,ok,"m01s30i294[blev=PLEV39, lbproc=192]
/ m01s30i304[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i201,30,201,192,,,PLEV39,ua,AERmonZ,False,2,m s-1,ok,"m01s30i201[blev=PLEV39, lbproc=192]
/ m01s30i301[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i301,30,301,192,,,PLEV39,ua,AERmonZ,False,2,m s-1,ok,"m01s30i201[blev=PLEV39, lbproc=192]
/ m01s30i301[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i202,30,202,192,,,PLEV39,va,AERmonZ,False,2,m s-1,ok,"m01s30i202[blev=PLEV39, lbproc=192]
/ m01s30i301[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i301,30,301,192,,,PLEV39,va,AERmonZ,False,2,m s-1,ok,"m01s30i202[blev=PLEV39, lbproc=192]
/ m01s30i301[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i297,30,297,192,,,PLEV39,zg,AERmonZ,False,2,m,ok,"m01s30i297[blev=PLEV39, lbproc=192]
/ m01s30i304[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s30i304,30,304,192,,,PLEV39,zg,AERmonZ,False,2,m,ok,"m01s30i297[blev=PLEV39, lbproc=192]
/ m01s30i304[blev=PLEV39, lbproc=192]",HadGEM3_AERmonZ_mappings.cfg
m01s34i009,34,9,128,,,,ch4,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_CH4)
* m01s34i009[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s34i049,34,49,128,,,,n2o,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_N2O)
* m01s34i049[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s34i001,34,1,128,,,,o3,AERmon,True,1,mol mol-1,ok,"(MOLECULAR_MASS_OF_AIR / MOLECULAR_MASS_OF_O3)
* m01s34i001[lbproc=128]",HadGEM3_AERmon_mappings.cfg
m01s00i002,0,2,128,,,,ua,AERmon,True,1,m s-1,ok,m01s00i002[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s00i003,0,3,128,,,,va,AERmon,True,1,m s-1,ok,m01s00i003[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s16i201,16,201,128,,,,zg,AERmon,True,1,m,ok,m01s16i201[lbproc=128],HadGEM3_AERmon_mappings.cfg
m01s30i296,30,296,128,,,PLEV8,hur,APday,False,2,%,ok,"m01s30i296[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i304,30,304,128,,,PLEV8,hur,APday,False,2,%,ok,"m01s30i296[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i295,30,295,128,,,PLEV8,hus8,APday,False,2,1,ok,"m01s30i295[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i304,30,304,128,,,PLEV8,hus8,APday,False,2,1,ok,"m01s30i295[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i294,30,294,128,,,PLEV8,ta8,APday,False,2,K,ok,"m01s30i294[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i304,30,304,128,,,PLEV8,ta8,APday,False,2,K,ok,"m01s30i294[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s03i230,3,230,8192,,,,sfcWindmax,APday,True,1,m s-1,ok,m01s03i230[lbproc=8192],HadGEM3_APday_mappings.cfg
m01s03i236,3,236,8192,,,,tasmax,APday,True,1,K,ok,m01s03i236[lbproc=8192],HadGEM3_APday_mappings.cfg
m01s03i236,3,236,4096,,,,tasmin,APday,True,1,K,ok,m01s03i236[lbproc=4096],HadGEM3_APday_mappings.cfg
m01s30i201,30,201,128,,,PLEV8,ua8,APday,False,2,m s-1,ok,"m01s30i201[blev=PLEV8, lbproc=128]
/ m01s30i301[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i301,30,301,128,,,PLEV8,ua8,APday,False,2,m s-1,ok,"m01s30i201[blev=PLEV8, lbproc=128]
/ m01s30i301[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i202,30,202,128,,,PLEV8,va8,APday,False,2,m s-1,ok,"m01s30i202[blev=PLEV8, lbproc=128]
/ m01s30i301[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i301,30,301,128,,,PLEV8,va8,APday,False,2,m s-1,ok,"m01s30i202[blev=PLEV8, lbproc=128]
/ m01s30i301[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i298,30,298,128,,,PLEV8,wap8,APday,False,2,Pa s-1,ok,"m01s30i298[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i304,30,304,128,,,PLEV8,wap8,APday,False,2,Pa s-1,ok,"m01s30i298[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i297,30,297,128,,,PLEV8,zg8,APday,False,2,m,ok,"m01s30i297[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i304,30,304,128,,,PLEV8,zg8,APday,False,2,m,ok,"m01s30i297[blev=PLEV8, lbproc=128]
/ m01s30i304[blev=PLEV8, lbproc=128]",HadGEM3_APday_mappings.cfg
m01s30i296,30,296,128,,,PLEV19,hur,APmon,False,2,%,ok,"m01s30i296[blev=PLEV19, lbproc=128]
/ m01s30i304[blev=PLEV19, lbproc=128]",HadGEM3_APmon_mappings.cfg
m01s30i304,30,304,128,,,PLEV19,hur,APmon,False,2,%,ok,"m01s30i296[blev=PLEV19, lbproc=128]
/ m01s30i304[blev=PLEV19, lbproc=128]",HadGEM3_APmon_mappings.cfg
m01s30i296,30,296,128,,,PLEV19,hur,Amon,False,2,%,ok,"m01s30i296[blev=PLEV19, lbproc=128]
/ m01s30i304[blev=PLEV19, lbproc=128]",HadGEM3_Amon_mappings.cfg
m01s30i304,30,304,128,,,PLEV19,hur,Amon,False,2,%,ok,"m01s30i296[blev=PLEV19, lbproc=128]
/ m01s30i304[blev=PLEV19, lbproc=128]",HadGEM3_Amon_mappings.cfg
m01s03i298,3,298,128,,,,sbl,Amon,True,1,kg m-2 s-1,embargoed,m01s03i298[lbproc=128],HadGEM3_Amon_mappings.cfg
m01s05i269,5,269,0,,,,ci,CF3hr,True,1,1.0,embargoed,m01s05i269[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i317,2,317,0,,,,clc,CF3hr,True,1,1,ok,m01s02i317[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i319,2,319,0,,,,clic,CF3hr,True,1,1,ok,m01s02i319[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i309,2,309,0,,,,clis,CF3hr,False,2,1,ok,m01s02i309[lbproc=0] - m01s02i319[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i319,2,319,0,,,,clis,CF3hr,False,2,1,ok,m01s02i309[lbproc=0] - m01s02i319[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i392,2,392,0,,,,clivi,CF3hr,True,1,kg m-2,embargoed,m01s02i392[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i312,2,312,0,,,,cls,CF3hr,False,3,1,ok,m01s02i312[lbproc=0] + m01s02i313[lbproc=0] - m01s02i317[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i313,2,313,0,,,,cls,CF3hr,False,3,1,ok,m01s02i312[lbproc=0] + m01s02i313[lbproc=0] - m01s02i317[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i317,2,317,0,,,,cls,CF3hr,False,3,1,ok,m01s02i312[lbproc=0] + m01s02i313[lbproc=0] - m01s02i317[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i204,2,204,0,,,,clt,CF3hr,True,1,1,embargoed,m01s02i204[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i318,2,318,0,,,,clwc,CF3hr,True,1,1,ok,m01s02i318[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i308,2,308,0,,,,clws,CF3hr,False,2,1,ok,m01s02i308[lbproc=0] - m01s02i318[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i318,2,318,0,,,,clws,CF3hr,False,2,1,ok,m01s02i308[lbproc=0] - m01s02i318[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i391,2,391,0,,,,clwvi,CF3hr,False,2,kg m-2,embargoed,m01s02i391[lbproc=0]+m01s02i392[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s02i392,2,392,0,,,,clwvi,CF3hr,False,2,kg m-2,embargoed,m01s02i391[lbproc=0]+m01s02i392[lbproc=0],HadGEM3_CF3hr_mappings.cfg
m01s03i223,3,223,0,,,,evspsbl,CF3hr,True,1,kg m-2 s-1,embargoed,m01s03i223[lbproc=0],HadGEM3_CF3hr_mappings.cfg
