stash,stash_section,stash_item,lbproc,lblev,lbplev,blev,cmip6_short_name,mip_table,is_simple_mapping,n_stash_refs_in_expression,units,status,expression,source_file
m01s01i520,1,520,0,1,,,rsdscsaf,E3hrPt,True,1,W m-2,embargoed,"m01s01i520[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i520,1,520,0,1,,,rsdscsaf,AE3hrPt,True,1,W m-2,embargoed,"m01s01i520[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i528,1,528,0,1,,,rsdscsafbnd,E3hrPt,True,1,W m-2,embargoed,"m01s01i528[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i528,1,528,0,1,,,rsdscsafbnd,AE3hrPt,True,1,W m-2,embargoed,"m01s01i528[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i512,1,512,0,1,,,rsdscsbnd,E3hrPt,True,1,W m-2,embargoed,"m01s01i512[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i512,1,512,0,1,,,rsdscsbnd,AP3hrPt,True,1,W m-2,embargoed,"m01s01i512[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,3hr,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,Emon,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,Eday,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,AP3hr,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,APmon,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i216,1,216,128,,,,rsdsdiff,APday,True,1,W m-2,ok,m01s01i216[lbproc=128],HadGEM3_mappings.cfg
m01s01i207,1,207,128,,,,rsdt,Amon,True,1,W m-2,ok,m01s01i207[lbproc=128],HadGEM3_mappings.cfg
m01s01i207,1,207,128,,,,rsdt,CFday,True,1,W m-2,ok,m01s01i207[lbproc=128],HadGEM3_mappings.cfg
m01s01i207,1,207,128,,,,rsdt,APmon,True,1,W m-2,ok,m01s01i207[lbproc=128],HadGEM3_mappings.cfg
m01s01i207,1,207,128,,,,rsdt,APday,True,1,W m-2,ok,m01s01i207[lbproc=128],HadGEM3_mappings.cfg
m01s01i201,1,201,128,,,,rss,Emon,True,1,W m-2,ok,m01s01i201[lbproc=128],HadGEM3_mappings.cfg
m01s01i201,1,201,128,,,,rss,APmon,True,1,W m-2,ok,m01s01i201[lbproc=128],HadGEM3_mappings.cfg
m01s01i217,1,217,128,,,,rsu,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i217[lbproc=128]),HadGEM3_mappings.cfg
m01s01i217,1,217,128,,,,rsu,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i217[lbproc=128]),HadGEM3_mappings.cfg
m01s01i521,1,521,128,,,,rsu4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i521[lbproc=128]),HadGEM3_mappings.cfg
m01s01i521,1,521,128,,,,rsu4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i521[lbproc=128]),HadGEM3_mappings.cfg
m01s01i219,1,219,128,,,,rsucs,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i219[lbproc=128]),HadGEM3_mappings.cfg
m01s01i219,1,219,128,,,,rsucs,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i219[lbproc=128]),HadGEM3_mappings.cfg
m01s01i523,1,523,128,,,,rsucs4co2,CFmon,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i523[lbproc=128]),HadGEM3_mappings.cfg
m01s01i523,1,523,128,,,,rsucs4co2,APmonLev,True,1,W m-2,ok,correct_multilevel_metadata(m01s01i523[lbproc=128]),HadGEM3_mappings.cfg
m01s01i519,1,519,0,,,,rsucsaf,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i519[lbproc=0]),HadGEM3_mappings.cfg
m01s01i519,1,519,0,,,,rsucsaf,AE3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i519[lbproc=0]),HadGEM3_mappings.cfg
m01s01i527,1,527,0,,,,rsucsafbnd,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i527[lbproc=0]),HadGEM3_mappings.cfg
m01s01i527,1,527,0,,,,rsucsafbnd,AE3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i527[lbproc=0]),HadGEM3_mappings.cfg
m01s01i511,1,511,0,,,,rsucsbnd,E3hrPt,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i511[lbproc=0]),HadGEM3_mappings.cfg
m01s01i511,1,511,0,,,,rsucsbnd,AP3hrPtLev,True,1,W m-2,embargoed,correct_multilevel_metadata(m01s01i511[lbproc=0]),HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,Amon,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,3hr,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,CFday,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,APmon,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,AP3hr,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i211,1,211,128,,,,rsuscs,APday,True,1,W m-2,ok,m01s01i211[lbproc=128],HadGEM3_mappings.cfg
m01s01i519,1,519,0,1,,,rsuscsaf,E3hrPt,True,1,W m-2,embargoed,"m01s01i519[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i519,1,519,0,1,,,rsuscsaf,AE3hrPt,True,1,W m-2,embargoed,"m01s01i519[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i527,1,527,0,1,,,rsuscsafbnd,E3hrPt,True,1,W m-2,embargoed,"m01s01i527[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i527,1,527,0,1,,,rsuscsafbnd,AE3hrPt,True,1,W m-2,embargoed,"m01s01i527[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i511,1,511,0,1,,,rsuscsbnd,E3hrPt,True,1,W m-2,embargoed,"m01s01i511[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i511,1,511,0,1,,,rsuscsbnd,AP3hrPt,True,1,W m-2,embargoed,"m01s01i511[lblev=1, lbproc=0]",HadGEM3_mappings.cfg
m01s01i208,1,208,128,,,,rsut,Amon,True,1,W m-2,ok,m01s01i208[lbproc=128],HadGEM3_mappings.cfg
m01s01i208,1,208,128,,,,rsut,CFday,True,1,W m-2,ok,m01s01i208[lbproc=128],HadGEM3_mappings.cfg
m01s01i208,1,208,128,,,,rsut,APmon,True,1,W m-2,ok,m01s01i208[lbproc=128],HadGEM3_mappings.cfg
m01s01i208,1,208,128,,,,rsut,APday,True,1,W m-2,ok,m01s01i208[lbproc=128],HadGEM3_mappings.cfg
m01s01i521,1,521,128,86,,,rsut4co2,CFmon,True,1,W m-2,ok,"m01s01i521[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i521,1,521,128,86,,,rsut4co2,APmon,True,1,W m-2,ok,"m01s01i521[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i517,1,517,128,86,,,rsutaf,AERmon,True,1,W m-2,ok,"m01s01i517[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
m01s01i517,1,517,128,86,,,rsutaf,AEmon,True,1,W m-2,ok,"m01s01i517[lblev=86, lbproc=128]",HadGEM3_mappings.cfg
